summoner_name,rank_tier,lp,win_rate,region
MarieM230ZouAoui#EUW,iron,500,60%,euw
Dolce2k#EUW,iron,500,67%,euw
CMD Tempris#EUW,iron,500,62%,euw
JohnnyOnGod#JGM,iron,500,60%,euw
Atzarm#EUW,iron,500,60%,euw
b4nkrptt#EUW,iron,500,50%,euw
Kimarhi#EUW,iron,500,60%,euw
seraos95#EUW,iron,500,60%,euw
Panterh3art#EUW,iron,500,60%,euw
Lolylo#EUW,iron,500,56%,euw
TacticKiwi#EUW,iron,500,60%,euw
Darknoid#EUW,iron,500,60%,euw
MaCaNetteDeDuFF#EUW,iron,500,60%,euw
Scordak#EUW,iron,500,60%,euw
Thufill#4951,iron,500,60%,euw
IGoblinKingI#777,iron,777,55%,euw
PulseZeTanuki#EUW,iron,500,49%,euw
Enzozo#213,iron,213,45%,euw
UPS MaToutPris#Lflex,iron,500,60%,euw
shmitai#6655,iron,500,50%,euw
Aizensko#77003,iron,500,40%,euw
HOSPITALIZADO22#Mora,iron,500,40%,euw
FaithAlbright#135,iron,135,40%,euw
WarriorJar83#nite,iron,500,64%,euw
TheDi#DjDi,iron,500,56%,euw
YoJebs#313,iron,313,60%,euw
mocrota#gavno,iron,500,60%,euw
Nekkobullu#1901,iron,500,60%,euw
BMW M3#3169,iron,500,54%,euw
trueDMGonly#badro,iron,500,60%,euw
redu#1616,iron,500,60%,euw
Tzamia#9615,iron,500,40%,euw
M8 GodOfGacha#5422,iron,500,57%,euw
Minimax#4812,iron,500,69%,euw
oDonell984389943#Mr838,iron,500,60%,euw
Hellya1305#elya,iron,500,60%,euw
nesquik309#nsqkk,iron,500,58%,euw
OldManWithAStick#2258,iron,22,60%,euw
Auralys#5346,iron,500,37%,euw
Miloud#9999,iron,500,60%,euw
LaYA34#53454,iron,500,60%,euw
B0udadiibo0st#8865,iron,500,60%,euw
Zass#2for1,iron,500,60%,euw
Noliraf#4585,iron,500,43%,euw
Blanksorashiro#6721,iron,500,60%,euw
polteergeist#0013,iron,500,60%,euw
NiKo#FCG6,iron,500,60%,euw
Supermonkey14#1414,iron,500,64%,euw
MonsterItachi#1744,iron,500,59%,euw
BuenasMananas#3000,iron,500,60%,euw
hipertensiune#2929,iron,500,60%,euw
alhexs#SFC,iron,500,60%,euw
Pyke69#8697,iron,500,60%,euw
BACAKKOPARTAN54#BELA,iron,500,60%,euw
Suceurdepierre#1509,iron,500,60%,euw
WhiteSentinel123#3435,iron,34,60%,euw
DarkKiwi#moc,iron,500,56%,euw
OhPEYZO#2289,iron,500,60%,euw
iotrix#one,iron,500,60%,euw
Cariiih#122,iron,122,60%,euw
M8LEGAUTH#5422,iron,500,40%,euw
フレンドください#shiky,iron,500,56%,euw
frogenstring#0726,iron,500,57%,euw
honoratus unum#SorG,iron,500,60%,euw
Épicé#ABEY,iron,500,60%,euw
iqu500#EUW,iron,500,60%,euw
sono gay#6969,iron,8,33%,euw
GuccixOnduras#EUW,iron,1,,euw
PTkiller2442#EUW,iron,1,,euw
GODTOFITA15#EUW,iron,1,,euw
gekyumlk#EUW,iron,1,,euw
S0VETRYNEN#EUW,iron,1,,euw
20Lucky01#EUW,iron,1,,euw
Pinpin#YUUMI,iron,1,,euw
Stormdaddy#EUW,iron,1,,euw
яx7#ЖЖЖ,iron,1,1%,euw
Kenzolone#EUW,iron,1,,euw
XelarebornvE#EUW,iron,1,,euw
Kiu Oho Yai Jang#EUW,iron,1,,euw
SEEKER#7777,iron,1,,euw
Worst Nightmare#GOD,iron,1,,euw
CATCHAWWW#0198,iron,1,,euw
matteobert#EUW,iron,1,,euw
Lormar#pro,iron,1,,euw
DarkRise#2026,iron,1,,euw
IdarTheBeast#EUW,iron,1,,euw
AndréRoidPhd#Artif,iron,1,3%,euw
DOMLiZ#EUW,iron,1,,euw
maNekzzz#EUWes,iron,1,,euw
oregon23#EUW,iron,1,,euw
MjrBezef#EUW,iron,1,,euw
GranCapitan#JLGC,iron,1,,euw
SirSherlock#EUW,iron,1,,euw
skydrow17000#3254,iron,1,,euw
Patjes#EUW,iron,1,,euw
RollonL#EUW,iron,1,,euw
Lakerolmaker#EUW,iron,1,,euw
Lapatatagustavo#ITA,iron,1,,euw
PL0pes#EUW,iron,1,,euw
Wulf#EUW66,iron,1,,euw
MarieM230ZouAoui#EUW,iron,1,,euw
Dolce2k#EUW,iron,1,,euw
CMD Tempris#EUW,iron,1,,euw
JohnnyOnGod#JGM,iron,1,,euw
Atzarm#EUW,iron,1,,euw
b4nkrptt#EUW,iron,1,,euw
Kimarhi#EUW,iron,1,,euw
seraos95#EUW,iron,1,,euw
Panterh3art#EUW,iron,1,,euw
Lolylo#EUW,iron,1,,euw
TacticKiwi#EUW,iron,1,,euw
Darknoid#EUW,iron,1,,euw
MaCaNetteDeDuFF#EUW,iron,1,,euw
Scordak#EUW,iron,1,,euw
Thufill#4951,iron,1,,euw
IGoblinKingI#777,iron,1,,euw
