puuid,delta_winrate,delta_kda,delta_cs,delta_gold,delta_damage,delta_vision,delta_kill_participation,delta_team_first_blood,delta_team_first_tower,delta_team_first_dragon,delta_player_first_blood,win_streak,matches_used,delta_goldPerMinute,delta_damagePerMinute,delta_visionScorePerMinute,delta_skillshotAccuracy,champion_pool_growth,total_matches_analyzed
YShuUcZ7gNZAV-EPQDonllLIc62IPptfwiMlceaNB62EaY5q60ytmZiO30S1D55a5-Lc2_9tf_PqzA,0.3999999999999999,2.967661782661782,0.0484309449364039,5.991554650206069,-62.71709250429967,0.2452938500783705,0.0096422671063991,0.2,0.2,-0.0999999999999999,-0.2,4,20,13.835240597456107,82.68835312631154,0.6324806734977244,-0.0966819077643375,3,58
YU72KsLYCeS-pGOqX2VqdoyUX-orx2sfhMd26aIaQBQgCbQqlw8lLX7_PXSE6lwDMi-NnJorazTxSw,0.2,0.7574655899655898,-1.5091304892399506,18.78716107894872,-91.87110355376296,-0.1682386400866287,0.0724585859766819,0.0,0.3,0.2,0.3,5,20,52.739743006205856,326.08393922965706,0.10390405408353376,-0.09250200351167964,0,51
YUZYtMxC8pBXfDdx8-Zxa8PRECEPOb5dycKRqbNsH9y4iGLrGpW52PL-qucn0nM9hbb1Kh7rolAC5A,0.0,-1.126055888555889,-0.0924676232868995,-18.91196113269297,70.43881660137663,0.0054926668456484,-0.0233672873371036,-0.2,0.0,0.0999999999999999,-0.2,8,20,76.82844113648923,577.1362360788087,0.18713607264786958,0.014581237295185623,-2,52
YV5FwhbNwe2vjUN5qBWhMsJbxjD48EillTIQzxONQAkQ0agcbtAUhsgf8UfRlnASKPd6Nv4uWt4CsA,0.2999999999999999,-3.021309523809526,-0.3933754245552832,31.32471461532384,187.44726007490715,-0.1036708383040279,0.0006348729521108,-0.1999999999999999,0.5,-0.0999999999999999,0.0,2,20,35.80059462193992,157.2598690070804,0.17634764089486543,-0.08845367316787922,-1,34
YWYPNI5ysbc35eq-nDGnG20a01ZJ2SBgOj1s7Yya0a8uds6Y7yIyHQfZSMzw8_pzx3HIhnP69UUAvw,-0.1,0.383279220779221,-0.0658031558145131,-9.48395502002819,-33.675523716673354,-0.0985594739183497,0.0530939595909571,0.0,-0.0999999999999999,0.0,-0.1,2,20,11.995750155840426,255.17186869914406,0.1844400798973378,-0.09469259540911634,-1,51
YX7W215ztXSchhfw2RNNXJ_I8X7a6XiGFW9RaJFk4S1c5rRPoXVDbQ9Jz2Vc8j5WFcQawJY4KWdRCg,0.1999999999999999,0.9167943167943172,0.0780045537925647,0.0,0.0,0.0,0.002068325927676,-0.0062598301352626,-0.0068260459263919,-0.0091538219565901,0.0018559295375904,3,20,-2.1367883225532864,145.43847444324973,0.34210133239231055,-0.08940451629515433,-1,50
YX_IX23pwmlbRFPNKlo52fJ2MCupEeCUSie_Z4NW5acE80i--fXMxSgU4T_ce9ICAtOVQQPkZw0Rwg,-0.6000000000000001,-2.851103896103896,-0.6844989396213697,-51.629318417411184,-222.9672444864417,-0.2578391544483305,-0.0870595392764456,-0.1,-0.2999999999999999,-0.4,0.0999999999999999,9,20,15.983807707125607,322.5648361938071,0.05358370016827396,0.08591047352911735,1,50
YZF_6xyJ8JS305RB-kYArI1MaY8X6MxkSj_-TWUKRum0Z61DShbjYNBpm-R7fJSBlRQKloHOBBi9tw,-0.3,0.543906926406927,-0.787415670783052,-32.20052636251546,-141.84056396212503,-0.6052016703201242,0.0702686409127443,0.0,0.0999999999999999,0.0,0.2,4,20,27.48451071487358,124.9415778844425,0.010621184386553573,-0.01946220858788006,1,32
YckH_LfOatwPaTPLh0OiuBiPUHK7z42WKeNU466h6VsLO3fD8VoIBOe7T2mRyEUm3UowV65zut9Heg,0.3,1.485782828282829,0.1333652519023502,0.3472710670533843,-63.98161697889327,0.3048691455787217,0.0200866288173857,0.0999999999999999,0.0,0.3999999999999999,-0.1,2,20,19.19296081436181,271.71561744983524,0.3557938646746188,-0.05799609121800886,1,55
Yctchk0B12i9Y4-7hh91WbsH4O5IjHb9nOkdinb50gnFoxOrr6UKa3-afsLNliy0Xb_o-J-d0fQz3Q,-0.4,0.2998514643251488,-1.0972140315219745,-93.87978779344428,-387.1658823155474,-0.1820360371225088,-0.0840028858310675,0.0999999999999999,-0.1999999999999999,0.2,-0.1,7,20,24.569727690287834,430.4515922621532,0.019916470250774143,0.02688692469595577,-1,50
Ycx_hbFF_X6rVdSVILpi2qNOQYLK3bHqKQex0A2jB2KA6A-IBUmcR0eQH3ty62PQfpzEF-ooKKFVcg,-0.2999999999999999,-1.0251984126984128,2.097547185826505,13.146248276778865,16.856186262417168,-0.6295489247293564,-0.1435788434839727,0.0,-0.3,-0.1999999999999999,0.0,5,20,-26.50745207665807,47.5934818032697,0.4674733460452468,-0.0044098425906995975,-2,50
YdU5mw_yxO_d_4569g-9v7zV455OMObvrwaUev3rMM9Bco-N6lVRS4KK64KrX7tld2mPvLl0f3BVPg,-0.3,0.5868398268398265,0.3740460829845746,0.0,0.0,0.0,0.002068325927676,-0.0062598301352626,-0.0068260459263919,-0.0091538219565901,0.0018559295375904,2,20,18.110975829270103,221.39935891480127,0.1654284526292073,0.053597177803091256,-3,50
