puuid,tier,winrate_zscore,kda_zscore,dmg_share,gold_share,avg_game_time,champ_mastery_entropy,avg_kill_participation,avg_gold_per_min,avg_damage_per_min,avg_vision_per_min,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,current_win_streak,current_loss_streak,longest_win_streak_20,longest_loss_streak_20,recent_winrate_5,recent_winrate_10,winrate_trend_10,recent_kda_5,recent_kda_10,kda_trend_10,kda_volatility_10,prediction,anomaly_score,is_anomaly,summoner_name
a9j7BBIpdolcqYOq9GWQXh5O2bxksG7cJOISunjHedngRHLXM4Awkn_8_Egtd1C-8zx0eKrWiNdUHg,Silver,-0.0277915949241505,-0.2003299241191549,0.2032195868460017,0.1975935809237395,1764.4,3.8770822611931264,0.4599985189424695,410.5964899402342,717.7970565593429,1.0903906533403118,0.4940381318842756,0.4956261701084848,0.4949441960904057,0.1679790705374592,1,0,3,3,0.6,0.5,-0.0999999999999999,2.751428571428572,1.862380952380952,-0.1285317460317463,1.4125537735836131,1,-0.3569253812323315,False,DaniloxSupremee#EUW
aCmMUK0a4od5iMNoWdEsXxARoUL3VcD4eOtj8nbk4LPb5SiQAmE170WMlHE0VE30qJWSaKx_wm9R_w,Iron,0.201812390292267,0.0053341933115873,0.2272538907247942,0.2027896481674377,1784.1,2.0886500358985645,0.3932032987369013,393.0284665107439,743.9178528422959,0.7047967748864938,0.42,0.44,0.4,0.2,3,0,3,5,0.6,0.4,0.0,2.483809523809524,2.0917784992785,0.8829292929292931,1.145004150251513,1,-0.4059714233693328,False,Schino321#EUW
aEke5QR4VsDmNY-fZlqN_aVVHN2vFG7SRiWfURYy8VOv_5EaUL8hcpMhR-LxUjuUbUMhoMGnqosK-w,Silver,-0.0277915949241505,-0.1968184159365217,0.229696429963583,0.223394143916027,1886.98,1.4281355793277912,0.4599985189424695,410.5964899402342,717.7970565593429,1.0903906533403118,0.4940381318842756,0.4956261701084848,0.4949441960904057,0.1679790705374592,0,2,5,2,0.4,0.4,-0.4,3.4484126984126986,3.638015873015873,0.5426046176046184,3.405002330838537,1,-0.3909098834404829,False,Jean Khül#EUW
aF0rCe6LmTlYkShHyzO30RfZskxvcv3vCSVYMJLyvZu-n1Rkb6pYS_q-qZjs-2OXgRxdd1_wbNTbdw,Master,-0.1486520289716,-0.2622688113447007,0.213809175409173,0.1973873326490134,1648.6,3.799021073671719,0.4216205836944593,418.0709113854389,774.8534278293021,0.9328724073845194,0.54,0.4,0.64,0.12,0,3,2,4,0.4,0.3,-0.1,2.5936507936507933,2.244047619047619,0.3425396825396829,1.4070907630532905,1,-0.4101446837153312,False,Megatrongle#ongle
aFVvwlCmhu0Y3NxIlN3EhpGkLBAJZojHCcWGfJou4fT0H94KhrQr_bkUC6cmjt3Iydy3bpaJ2O-Ptg,Iron,0.0397486796277031,-0.1075591596229762,0.1607838042317608,0.1847207853911323,1711.36,2.9403107519641827,0.3505787625700756,342.7560309487577,505.347681383487,0.4617891147729113,0.46,0.38,0.58,0.18,0,1,2,4,0.6,0.4,0.0,0.8944444444444445,1.4406837606837608,-0.186578144078144,1.2305491523320238,1,-0.4209277204362255,False,dbol#5991
aHuLEMbdEf16X16ZafVo2lYll3yphbiJ1bWOsblQMs4Jo5z6B5N5I6GMV-veFha59KEJngWwE2xivw,Iron,0.4145210105395071,-0.0139186890290595,0.1921485116203439,0.1896903744993799,1567.625,1.7499999999942293,0.327046567070518,365.5481331001132,580.2044602543001,0.5300152681467487,0.375,0.375,0.5,0.125,2,0,3,2,0.6,0.625,0.0,2.5466666666666664,2.466666666666667,0.0,2.2593017603774057,1,-0.4278839832662053,False,BigWizzleKizzle#SIGMA
aICp0xQQ_ZHAluNztwDxcjowo32LzFF0RO0JwkuyI041rWrhyf4fozxcWFluMcoFVDm2PYVJUrE96g,Gold,-0.1450517716157424,-0.1416655197480279,0.1632082240813012,0.180491233159818,1820.0487804878048,3.3116945937025024,0.3834753394119253,359.8270728437496,544.1411260761081,1.3474375199874375,0.6341463414634146,0.3902439024390244,0.5365853658536586,0.1951219512195122,2,0,2,3,0.8,0.5,0.0,2.876190476190476,2.2958333333333334,-1.6305952380952378,1.968808015738068,1,-0.4153323390242086,False,LBJordan#EUW
aIEmvlFk54Ja6pOJXDxLNK6P_bmtmzRo7uum9KvaxREdq6RVFcwnrx9fMg6ym8Y6CmzyUd-r15rwDw,Diamond,0.0114772408014181,0.2234923134264862,0.235463502298099,0.2273200908535714,1626.34,1.6080648277718983,0.5074537795047908,492.0644093563239,825.769296302143,0.9104760524267116,0.52,0.24,0.5,0.14,3,0,3,4,0.6,0.5,0.2,2.6066666666666665,4.082698412698412,0.7151587301587297,5.197921433227084,1,-0.4145132089910382,False,OupiGoupi#WAWA
aJCTXnZNArSrVs1j9O8VPUvpxsSLQc-OmBGl-Vh2rO1hjs4RHNxch8ek1P0EglduHnnEsNU1P1eeDg,Emerald,0.1212258983746691,-0.2037729669120986,0.2100815668671101,0.2091357558754303,1624.02,1.6631625778137251,0.3138317802600897,420.0413523412317,598.8306819371674,0.7033126569198689,0.42,0.58,0.52,0.08,1,0,4,4,0.2,0.5,0.0999999999999999,1.3533333333333333,2.126666666666667,-1.7738095238095235,1.5167619017718854,1,-0.4259545083697641,False,SNE Dexme#47623
aLpuO1tLP_4-3iK-qbY0xcZ7obFrSTs-67S7BXT_88GgQfzqn5_21e7fdmliGGNdFoCTmXjFOWAV-Q,Grandmaster,-0.1486520289716,-0.0369498531084072,0.1681722965007718,0.2163777738173422,1550.28,0.7444586153234203,0.4905589197760087,457.2105516117328,577.5981999418524,0.9028691668990736,0.52,0.46,0.56,0.22,1,0,2,3,0.4,0.4,-0.0999999999999999,3.5785714285714283,4.069166666666666,0.4863961038961024,3.9126174049455686,1,0.0,False,Rexfleuch#EUW
aMVoNlye_RXBm4MhgIJd1zzvCNjF_-y38Y5Zoo4IedHLbgyR9lGgyVBeacYL51R0i3SzChuTRA1NTQ,Iron,-0.1628309587030016,-0.3318217535297069,0.1189378449908852,0.166585487197118,1819.68,4.896174630019149,0.4027028595103409,300.3139220782731,410.7716845137861,0.5623657579866916,0.46,0.28,0.52,0.16,0,3,2,4,0.4,0.4,0.2,1.4637662337662338,1.4197619047619048,-0.2808263305322129,0.3804926640029437,1,-0.4678227715263582,False,elamako#EUW
aMgps4adfmfpCulmIJiA2sH9_FCAJ66FCX-8UCiyMH_eQGgP_0_3apnYUSIfXSj0eL7aWhRV81WFEg,Gold,0.1288141770213204,0.2660765637488844,0.172707030861116,0.2145417725950827,1669.64,3.223864803247665,0.4475535611879728,428.4711650361071,623.3815198436309,0.7296563093419995,0.5,0.54,0.54,0.18,2,0,8,4,0.8,0.8,0.2,4.803174603174603,6.749206349206349,1.488373015873016,4.25602769386133,1,-0.4076165479945442,False,Rial#BAS
aNCScdJPQjflbYtN8YJVzWnoLkIHmrR6Gs3Zcd6DYTx9BJGSOFvsax92xrDyQq3Q_vM2QFoXMicAFg,Platinum,0.1411880481660457,-0.0548347046114755,0.1972437306716891,0.2019138671432415,1733.72,4.6712723800681895,0.4599985189424695,410.5964899402342,717.7970565593429,1.0903906533403118,0.4940381318842756,0.4956261701084848,0.4949441960904057,0.1679790705374592,1,0,13,3,0.8,0.9,0.3,4.803333333333333,5.346666666666667,2.1797582972582976,3.5060408186759924,1,-0.4452189355190316,False,JeanPaulGaultier#PAFG
