match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUW1_6826272759,200,1,10690,40610,17,-17,39,15,5,4,1,52
EUW1_6826305420,100,1,15093,16768,23,-23,32,21,6,-2,1,-33
EUW1_6826305420,200,0,-15093,-16768,-23,23,-32,-21,-6,2,-1,33
EUW1_6826309165,100,0,-10766,-16637,-17,17,-25,-29,-5,-2,-2,17
EUW1_6826309165,200,1,10766,16637,17,-17,25,29,5,2,2,-17
EUW1_6826350576,100,0,-9803,-28503,-8,7,-1,-22,-7,-2,0,-99
EUW1_6826350576,200,1,9803,28503,8,-7,1,22,7,2,0,99
EUW1_6826375178,100,0,-8906,-15029,-10,11,-24,-11,-5,-1,0,-111
EUW1_6826375178,200,1,8906,15029,10,-11,24,11,5,1,0,111
EUW1_6826376490,100,0,-6814,-29989,-9,9,-33,-6,-3,-2,-1,31
EUW1_6826376490,200,1,6814,29989,9,-9,33,6,3,2,1,-31
EUW1_6826399561,100,0,-9996,-30299,-18,18,-36,-53,-7,-4,0,-58
EUW1_6826399561,200,1,9996,30299,18,-18,36,53,7,4,0,58
EUW1_6826748732,100,0,-125,-9802,10,-10,20,-10,2,-2,-2,-96
EUW1_6826748732,200,1,125,9802,-10,10,-20,10,-2,2,2,96
EUW1_6826801904,100,0,-10075,-22138,-14,14,-14,16,-7,-3,-1,-130
EUW1_6826801904,200,1,10075,22138,14,-14,14,-16,7,3,1,130
EUW1_6826831564,100,1,11400,15236,17,-17,1,33,5,-5,2,40
EUW1_6826831564,200,0,-11400,-15236,-17,17,-1,-33,-5,5,-2,-40
EUW1_6826856284,100,0,-6,-18850,6,-6,5,30,-6,1,0,66
EUW1_6826856284,200,1,6,18850,-6,6,-5,-30,6,-1,0,-66
EUW1_6826892526,100,1,10286,27995,17,-17,15,21,8,2,1,-22
EUW1_6826892526,200,0,-10286,-27995,-17,17,-15,-21,-8,-2,-1,22
EUW1_6826917952,100,0,-14157,-26550,-19,19,-28,-17,-9,-3,-1,-120
EUW1_6826917952,200,1,14157,26550,19,-19,28,17,9,3,1,120
EUW1_6826946276,100,0,-10275,-34306,-16,16,-31,-39,-6,-5,-1,-15
EUW1_6826946276,200,1,10275,34306,16,-16,31,39,6,5,1,15
EUW1_6827083238,100,0,486,1012,1,-1,3,0,0,0,0,-3
EUW1_6827083238,200,1,-486,-1012,-1,1,-3,0,0,0,0,3
EUW1_6827091730,100,1,9898,17212,20,-20,37,-6,4,1,1,44
EUW1_6827091730,200,0,-9898,-17212,-20,20,-37,6,-4,-1,-1,-44
EUW1_6827104281,100,1,8079,17565,4,-4,2,42,8,-2,1,-13
EUW1_6827104281,200,0,-8079,-17565,-4,4,-2,-42,-8,2,-1,13
EUW1_6827111903,100,1,5216,4060,12,-12,12,11,0,2,0,56
EUW1_6827111903,200,0,-5216,-4060,-12,12,-12,-11,0,-2,0,-56
EUW1_6827161165,100,0,-13409,-33422,-27,27,-42,-2,-6,-2,0,-79
EUW1_6827161165,200,1,13409,33422,27,-27,42,2,6,2,0,79
EUW1_6827206133,100,0,-4374,-10297,-11,11,-32,-22,1,2,-1,-94
EUW1_6827206133,200,1,4374,10297,11,-11,32,22,-1,-2,1,94
EUW1_6827242583,100,0,-2913,13504,-5,5,14,-98,-5,0,1,76
EUW1_6827242583,200,1,2913,-13504,5,-5,-14,98,5,0,-1,-76
EUW1_6827303465,100,1,5916,10831,12,-11,12,-15,7,3,-1,128
EUW1_6827303465,200,0,-5916,-10831,-12,11,-12,15,-7,-3,1,-128
EUW1_6827341405,100,0,472,471,1,-1,1,0,0,0,0,-1
EUW1_6827341405,200,1,-472,-471,-1,1,-1,0,0,0,0,1
EUW1_6827367057,100,0,-8130,-10683,-23,22,-16,-6,-3,-1,-2,43
EUW1_6827367057,200,1,8130,10683,23,-22,16,6,3,1,2,-43
EUW1_6827481136,100,1,16753,40170,21,-21,33,-1,7,4,1,79
EUW1_6827481136,200,0,-16753,-40170,-21,21,-33,1,-7,-4,-1,-79
EUW1_6827520226,100,0,-2352,8008,6,-6,17,-46,-7,-4,0,11
EUW1_6827520226,200,1,2352,-8008,-6,6,-17,46,7,4,0,-11
EUW1_6827572781,100,0,-14948,-33300,-9,9,-4,2,-6,-4,-3,-212
EUW1_6827572781,200,1,14948,33300,9,-9,4,-2,6,4,3,212
EUW1_6827711006,100,1,7679,-8283,9,-9,21,-6,0,-2,1,89
EUW1_6827711006,200,0,-7679,8283,-9,9,-21,6,0,2,-1,-89
EUW1_6827973458,100,0,-12243,-56314,-13,13,-1,-9,-4,2,-1,-154
EUW1_6827973458,200,1,12243,56314,13,-13,1,9,4,-2,1,154
EUW1_6827989388,100,0,-8302,-24420,-16,16,-14,-34,-1,-1,0,-58
EUW1_6827989388,200,1,8302,24420,16,-16,14,34,1,1,0,58
EUW1_6828397067,100,0,-7447,1619,-8,8,-10,-24,-9,-3,0,28
EUW1_6828397067,200,1,7447,-1619,8,-8,10,24,9,3,0,-28
EUW1_6828458568,100,0,-9960,-8184,-13,13,-19,1,-3,0,0,-88
EUW1_6828458568,200,1,9960,8184,13,-13,19,-1,3,0,0,88
EUW1_6828492873,100,0,-9351,-26327,-19,19,-21,-5,-3,0,0,-93
EUW1_6828492873,200,1,9351,26327,19,-19,21,5,3,0,0,93
EUW1_6828509215,100,0,-12247,-17244,-22,22,-11,-28,-9,-1,0,-77
EUW1_6828509215,200,1,12247,17244,22,-22,11,28,9,1,0,77
EUW1_6828727087,100,1,13071,74842,24,-24,35,10,5,-1,1,186
EUW1_6828727087,200,0,-13071,-74842,-24,24,-35,-10,-5,1,-1,-186
EUW1_6828747038,100,1,10308,24521,18,-18,25,-10,5,0,0,11
EUW1_6828747038,200,0,-10308,-24521,-18,18,-25,10,-5,0,0,-11
EUW1_6828796210,100,1,-151,-6838,-5,5,-6,27,1,-2,1,-92
EUW1_6828796210,200,0,151,6838,5,-5,6,-27,-1,2,-1,92
EUW1_6828807103,100,0,-9121,-33815,-13,13,-12,-11,-8,-1,-1,-47
EUW1_6828807103,200,1,9121,33815,13,-13,12,11,8,1,1,47
EUW1_6828864351,100,1,7545,10969,9,-9,-3,29,10,4,1,87
EUW1_6828864351,200,0,-7545,-10969,-9,9,3,-29,-10,-4,-1,-87
EUW1_6828885774,100,1,17388,58902,22,-22,41,64,11,2,1,116
EUW1_6828885774,200,0,-17388,-58902,-22,22,-41,-64,-11,-2,-1,-116
EUW1_6829485875,100,1,12961,37934,18,-18,42,-24,6,2,1,50
EUW1_6829485875,200,0,-12961,-37934,-18,18,-42,24,-6,-2,-1,-50
EUW1_6829505438,100,0,-16553,-40802,-25,25,-24,-64,-8,-5,-2,-45
EUW1_6829505438,200,1,16553,40802,25,-25,24,64,8,5,2,45
EUW1_6829587875,100,1,7297,14811,13,-13,12,18,0,-2,0,134
EUW1_6829587875,200,0,-7297,-14811,-13,13,-12,-18,0,2,0,-134
EUW1_6829619827,100,1,3692,26049,4,-4,8,31,5,4,0,52
EUW1_6829619827,200,0,-3692,-26049,-4,4,-8,-31,-5,-4,0,-52
EUW1_6829633860,100,1,5014,-7176,-5,5,-20,72,6,0,1,159
EUW1_6829633860,200,0,-5014,7176,5,-5,20,-72,-6,0,-1,-159
EUW1_6829658307,100,0,-11196,-8427,-16,16,-27,-24,-6,-2,-1,-46
EUW1_6829658307,200,1,11196,8427,16,-16,27,24,6,2,1,46
EUW1_6829697451,100,1,12312,19863,15,-15,34,105,8,0,2,-58
EUW1_6829697451,200,0,-12312,-19863,-15,15,-34,-105,-8,0,-2,58
EUW1_6829700742,100,1,5264,12267,12,-12,13,39,2,3,1,-13
EUW1_6829700742,200,0,-5264,-12267,-12,12,-13,-39,-2,-3,-1,13
EUW1_6829718164,100,0,-5043,-625,3,-3,10,23,-7,-1,1,-47
EUW1_6829718164,200,1,5043,625,-3,3,-10,-23,7,1,-1,47
EUW1_6829761861,100,1,6167,18304,8,-8,6,37,6,-1,0,77
EUW1_6829761861,200,0,-6167,-18304,-8,8,-6,-37,-6,1,0,-77
EUW1_6829804360,100,0,-8812,-40472,-9,9,-11,51,-4,-3,-2,-63
