puuid,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_per_min,avg_vision,avg_vision_per_min,avg_kill_participation,team_first_blood_rate,team_first_tower_rate,team_first_dragon_rate,player_first_blood_rate,win_rate,champ_pool_size,main_role,matches_used,tier,recent_form_30,recent_form_10,kda_consistency,champion_pool,role_focus_pct,gold_std,damage_std,goldPerMinute,damagePerMinute,visionScorePerMinute,skillshotAccuracy,killParticipation,controlWardsPlaced,wardTakedowns,soloKills,deathTimeRatio,earlyCS,turretPlates,killsNearTurret,epicMonsterSteals,objectivesStolen,bountyGold,champion_pool_size,role_consistency,total_games,matches_analyzed,wins_in_matches
m_EblfzsSCnB8GnzaNcR_6RMWhFnIWawUV6AS4X-fao_Z6q3JR7zYYERGkj-fim9TmU3Se_E3RbESQ,3.4205463980463984,2.879814446719512,412.1200666383263,721.1087817631384,48.1,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.6,7,UTILITY,20,Silver,0.6,0.7,5.58031361125878,16,0.54,106.35794035641035,294.4053064642837,408.60306518384516,706.3976159936311,1.4171354655201023,0.5440551877309167,0.5169025407113934,0.27450980392156865,3.823529411764706,1.0784313725490196,0.10833401848372773,33.058823535839714,8.72549019607843,1.6470588235294117,0,0,234.31778911515778,16,0.5294117647058824,51,51,31
ma7jJLfiOUNZwKjLlk9ZywQe8qFztFYtPxdC3IqrrUshAcCGOxAKk2Jy_3OSw7f_Ie9unC7k5omSMA,2.218465007215007,7.155769815162233,448.5165994459188,847.5748087995191,22.2,0.7546637113469397,0.45286346238387,0.55,0.55,0.65,0.15,0.58,7,BOTTOM,20,Diamond,0.5333333333333333,0.5,7.580608484811756,14,0.7,82.24089382602743,270.2364395709639,476.9438854716322,918.1566937832029,0.7927780795062247,0.6016015303718016,0.44882785166088984,0.15384615384615385,2.0961538461538463,1.8076923076923077,0.11481183271812971,64.2884615401809,9.711538461538462,2.423076923076923,0,0,152.223146878756,16,0.6730769230769231,52,52,30
mbgXhmyfB44jkoryKmwCiHsPiHRTirn_7rTcN5HPLfVNwf1PJgRKTL-HFMKWfLR08T2jJFS26ixmyQ,5.573531746031746,2.957370034382905,469.00293960316975,789.1463990335778,25.45,0.8905175686608766,0.4930758630379624,0.55,0.45,0.25,0.15,0.48,3,JUNGLE,20,Grandmaster,0.4666666666666667,0.3,5.396964424563127,4,0.7,78.61407786113915,298.6767349213653,462.38407193224,721.4572103234472,0.8429781819145592,0.12225351880259301,0.4965757773576116,0.3508771929824561,4.771929824561403,1.3508771929824561,0.07631737625743755,76.02105269672577,5.912280701754386,1.8771929824561404,2,2,192.19126115765488,5,0.7192982456140351,57,57,27
mdQ6cq29UnMVtt5lKWwN48HMzRdJUr396rNmTu1arJD4w5IPX5zHO3xMwHYTNEN31RE8c8k1SSKHPA,3.7244614512471657,1.7844853864327015,412.1200666383263,721.1087817631384,29.642857142857142,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.5714285714285714,8,JUNGLE,14,Platinum,0.5714285714285714,0.7,5.3670444209384485,8,0.8571428571428571,53.23234806915734,269.9949259140878,431.1469412851905,785.686160848972,0.9038600842716205,0.4067286765262862,0.5033467935710225,2.5,3.7857142857142856,1.0714285714285714,0.11121237927303565,59.16071434531893,2.4285714285714284,2.4285714285714284,2,2,155.98446328299386,8,0.8571428571428571,14,14,8
meXLuJFmfUsxAAhN18Ja_gyAEgKyEukm5R5m8aTT9Q-RTp7y50DIiIQvgKbVxQP3xJwUaebuRazi7g,4.559781746031746,5.0696605493349125,412.1200666383263,721.1087817631384,26.45,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.52,16,TOP,20,Silver,0.5333333333333333,0.5,6.602084897969732,31,0.54,64.28458715005348,260.735763773793,404.6829972305135,788.0896341697892,0.7630296154113287,0.34484907375688434,0.4302083151110072,0.68,2.5,2.4,0.091481109634232,67.22000000834466,6.38,2.06,0,0,123.87593383789063,31,0.54,50,50,26
mfG_3lTIk8_OpVpfCfo81rm-so9juZdcce04P_0K0P_m5iJ2XejFTj9fopHf95M_pWdIaYucwAVitg,5.194345238095237,7.968800430454687,438.97967591448014,803.2519468369817,19.0,0.6906528591981863,0.3809714697834391,0.55,0.6,0.4,0.2,0.54,1,MIDDLE,20,Emerald,0.6,0.5,5.481762946352204,4,0.86,72.45162159750893,288.1227058082808,425.0530937015116,756.6193491212916,0.5880489435712063,0.39597308928711655,0.35822354802700296,0.54,1.04,1.6,0.08498569121757255,74.52,6.84,1.38,1,1,194.6786604309082,4,0.86,50,50,27
mgS3Fl0V_S6YSkw5WjgmLIcvneEGOASNozqfbEayLvcSd32QnlawybpAJaLslskAtmD6dUEhcihI2g,3.1025,0.6295664608302408,412.1200666383263,721.1087817631384,23.05,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.54,10,JUNGLE,20,Platinum,0.5,0.5,6.692652687836118,19,0.98,83.93410274419212,383.4500242155096,442.550814732107,791.7330768860977,0.8207580054997017,0.30533027494064024,0.5565918100289786,2.04,4.28,1.34,0.09697392386760977,65.9870000743866,0.96,1.58,1,1,201.7223680114746,19,0.98,50,50,27
mjuORAGjk5WsHx4eQ_lMyooH1NKiPPUgTH1LTfTgjK4qLheB1hRc7tz-AOG294wrVTFk4knBgOPGWA,3.102914862914863,1.887458237984282,372.4599150255803,616.6049811240298,39.95,1.258075538596784,0.4606973031808391,0.45,0.35,0.6,0.2,0.5510204081632653,14,JUNGLE,20,Bronze,0.6,0.8,5.023321288551363,19,0.2244897959183673,56.25271517148423,209.40666510509723,367.4245378566201,645.3626172954894,0.9869640390507488,0.37423395088847133,0.42218628412146203,0.8571428571428571,2.6530612244897958,1.163265306122449,0.09769302965242377,46.07346939918946,2.306122448979592,1.0,0,0,161.5910990189533,19,0.4897959183673469,49,49,27
mkI3FE_VEuB760sc0buD7DnU6yVeg6cZ9lApJGh2pFhD5stEec7DOW3Puo78-emr6oxQpsoobQVneg,3.3716810966810966,0.8990983556080827,425.1642628338983,690.312149984639,34.5,1.052633993729002,0.5236637728606395,0.45,0.7,0.6,0.1,0.48,12,JUNGLE,20,Emerald,0.6333333333333333,0.8,5.932851338100424,23,0.98,80.20513936621758,347.75139528445965,415.73947595445674,693.638005235613,1.080991165222185,0.286910112094204,0.5247764644067899,2.3653846153846154,5.730769230769231,1.1538461538461537,0.11607360937179684,60.6923077668135,3.4038461538461537,1.3076923076923077,2,2,243.6061668395996,24,0.9807692307692307,52,52,25
mkbDOLbGcZSctwUXbpF1gDEhZaIzgPE7Vu_aRnJfSFnQFwkEk2cPxqtHmHzUOvMdR1sGcAaWwf2c2w,3.211785714285714,5.487766467183103,412.1200666383263,721.1087817631384,27.55,1.1148604367537704,0.4586270666158978,0.4933723943757974,0.495054260614521,0.4945655736491977,0.1665533733241711,0.58,16,BOTTOM,20,Silver,0.6666666666666666,0.8,5.837861337853101,34,0.46,108.91849330836364,392.45962145384846,429.24771234553424,703.077028332624,1.1898763945040627,0.47483815893950465,0.43572820818240066,1.0384615384615385,3.0,0.9038461538461539,0.08394896035136448,49.62980769803891,7.711538461538462,1.0769230769230769,3,3,149.7831583756667,35,0.4807692307692308,52,52,30
