puuid,summoner_name,tier,region
GZER5--Nyra5ryNcCA2jLMBAX86DaV6-fpDe9_VlTLm9Si-RL12ktzihfDRkhtxZQFaFA0rgM3j3zQ,TWTV KAAGAROO#EUW11,Master,EUW1
RjF2_NcWLgCW2TtbyKb8E_zYxetWTmia4pR-fUrTGLlYOBNwYqOqHrTfBWsaUtsUIcXEjckoh2xRTg,space generator#1010,Master,EUW1
IK4UhTQ9IAWCtRuQYrlvT8AuHB2eykqeJ8-V2vuUzm9_qAZpXwOHAq7IiE-bmR1Am212j-Ltq_HJHw,bluerzor#grind,Master,EUW1
H9cXAnCl09qBmofnKCDkh7q9sr9GvS-6qNo6j59dyysB7llSTrttIc532D3D8TB8gUNtCwSg0w1Cvg,PoEs tk#EUW,Master,EUW1
xZg8Tu6URMn4NeV5cDUceIPqBUdApOl6G5rv8LOlWHA6swcgGk9Yi4sw3kreQlVy_NQnCyPP2_oV3A,Ichigo Kurosaki#5525,Master,EUW1
TRVakDicBR0INrOWT_isRDtKZ_l7FCG5z4BHrTix7Cho5pjJl3loF1lZnm4W7Lm7Cxog9LHq68AHcg,reksai kitten#enjoy,Master,EUW1
8UDGARt2EZB6BMpUa6oMshZcv5JHiaIScWvMYu3MxUgX6FDcQZkCmzyOE3wKf0A4MdTcp2vsH7FCkQ,Trafo Kennen#1905,Master,EUW1
8peBX7Jp5fjpggB3eLe1OWvh6F6LY6cZ48FL7vlesGZxIYV4gd1TZPhPrVVLxkBd0VqDOgE_o_hdkg,Regn#EU1,Master,EUW1
dAhc9TDbrnm9h7FMjBbVRgY4Z0LRa284xDVZ3byreSSm4x0zcO_-eSPdzG02Z7pR2Be6iNsKSz6ukw,yebit#haha,Master,EUW1
0MrrgmtSxB2O90RDDUc4yvSIVLaWPCVIBHMmgzmgOoIK9iaF3oqB0E4It1B3nKqRhGKXa-I5-TiN3g,Botlane Gandalf#BDSM,Master,EUW1
raxsG5OnaTZ3-2T9S_FJf0mK_652WdWnV05RYVCtqbInQtPbL2ihMb4KHg5P7VlaMXd_xyu-1qZMfw,我爱玩打野#打打打,Master,EUW1
uHkwQZ36OWjZNRbm_ZxABcQiC-exnPEHRQ7gPkdj15WlhdSX-5nERHiHu_BAKqhL9wv45uTv7tI3Ww,SmallBugi#EUW,Master,EUW1
n_OmM-kt9-nTfPQJUc1hD4-HPwWe622uhnw6SKPDgXvRdAPUrh6h8JAi086oD3_N70NSlUlGtXIf9w,PisheR#EUW,Master,EUW1
BS_g7crz2sUbygtZPYycg9bCOu_GWkj4JRq4PU7ni5LFj0oDeMAn3bg-875Rsf_UuGAtXSV57-xJgQ,RhinoBelly#mmfgh,Master,EUW1
7J5KZIIZNKAwwkh9HC7apu7swjqnAEL2ZNy1bAS2H2-52tnC2GEz-QDvFaIGFxDTMD0eT0iwPYadxg,ZYB PEYZ#KR01,Master,EUW1
UUXevfIwZhrIX7RNRXvBM1fP5v05xTZ-IWjnWzkLnWgyo35X3QeFEVgpcvpBZoEIUgT8x2YJvAjPkA,matiou#DEAD,Master,EUW1
kSCjMFI_-OlV4EpbD_doJKzueZ5SiRSPm0z1TSOL9SDAkucfBzQgep_bA5Bp6MJ4YcYNVw2iU0ZLyw,MR PRINCE#S4nji,Master,EUW1
3fBenFgu6c59k8SYGkHt4mwBqHViAGkShhG9kYEIBkb-JgFXYEoXbIBWtqvqFSueT11oMree543Icg,alix de souza#1111,Master,EUW1
STlqPOiqRCGKL1QUm70egEX-A-EykkkaxwDPtfSNnEL25Uyvtkx7EtUNmeeRHqJjH74vNS4s0WIl4Q,Nomanz#1111,Master,EUW1
CoeZgXnIj5XLly3wD7AuRr9p1hftIJAg1kCgLLwrC0IW0qRlLKU80Ue4ZBj4pxJr4bhKu7khs8X2Vg,Maximillion#PGS,Master,EUW1
cR_CPjy9cMlpmenPHHNT2oAbxefEoqkj7JvH2uWeH6SOyrncSRSpBurCGV4Ct9o4tkwN6pH9fJyWpw,Twitchtv L9Aral#ˆ659ˆ,Master,EUW1
xrddQe8uVCfNM6iVC1qKPRQFcq6PW-4UOvPqeV__V1sdVqeqoOkC1-T9Jl8PhOowdrME3bSy8KinGQ,Elyo#GenG,Master,EUW1
tbQpQiLCJCxb8Xxj9LeVV3AhGVxHR5z0lc7N1cDzOThHuVl2corBTxo3BZ9QsL-gLhGfv-fJNMMHZA,ギャンブル#萬花鏡,Master,EUW1
lZ3XQfThivtU3p_FOX4mIRtefT0Jt54dRE1tKXoFkHhnZA5ktLpdQFZo07CX2JCZypQk5_KvNTmHqQ,KC Prime#6162,Master,EUW1
5wWYuJM28cSriUTAR2A3N2BATh0dgoaGZP8YxXnKjjgTUBGxVSAMX834rvztiozWdMZ4SvqJ9YAdsw,Kichira#REN,Master,EUW1
5hPgiIFXsLaVjgFajK_N-W0h-kjsuxHP6R11iRa13d1IJuPExTRlcCr7mDkh3uok9zNYhWSI0Ws6Bg,Don Noway#EUW,Master,EUW1
