puuid,summoner_name,tier,region
eOuVC4uVx_LaSzB3wLw8hYlu8QCydwPqw4UGlWuVKbL81rRy32vLUo-_HFrQtj2z2MAAYEbAGzQcyg,fated to perish#jfl,Iron,EUW1
-9FOT3wcWBteK4_lme_4HswBdgSBy-D84-OM4sRKaZLNMPpbtPWQKyxebjFd_PfeghUY8rtvdf7rEw,lshenzy97#EUW,Iron,EUW1
UdXIiZiBTGnTXRAPRXNIgcMPtCukExAhWnuNp2fbdtMMcz9XBkBfPersuQvuGi6e3p1v8CTV6c_hXg,Huru#00001,Iron,EUW1
xx6TI8xxB8YtfJlPMT0m_u0RhguX7Hv3NPMm1EE0ja5wmRupvH-Qs_5S_ybIj0-nW5NvOTTu0Z599g,lordviktor11#4501,Iron,EUW1
vWXsCQY0G-x3rytqn2p1Nde-ga4Af_BpRXetg_AQl6V2jUglO2u5fPvoFFHQiRXp4P_jfC2iX-OC5Q,Genosse1312#EUW,Iron,EUW1
d0692PKYCaXKtWwYpa2VgFzIN5LURP9kUj4YmVK1wEP4Ejc3b0lQMpD4J82mujM1DB9V_HS0duoXcQ,SettOnmyFace#7441,Iron,EUW1
aqNW-XHdR5_-I_qjTE4vmnAMoK5DauPcHlliOTLdl3coDPAhhzHmBc2qOzGjy52D8w_9WROWtSzYpw,ArcadioPallo#4485,Iron,EUW1
Hjb83Kpw5-x63qdrI9n1W9MkHpNOBJ42m56K3WzPcApst0Bkq2GaHawv7weU57VoS_qMBq5NxbJW8w,harmleikurinn#101,Iron,EUW1
xcSm08dSwp1OD5dpkX7BjMj-1jqm7HXoniUBJBsN1BUs_dJq0Ab_1I4AL1-iVG-1BS4JpUPd4mY70Q,AuroRafalTéMor#5 57m,Iron,EUW1
WMHALG4k687bENlvMLzabAE71dgH9OflDdP2Kqei6vPWVruUoEaUdO1wGYXUgGGJ7bDuiNo4eNQoiA,relaxogam3r#EUW,Iron,EUW1
Gi6eAkz5xl08G1MHImAQFkhPINp59QOggNSrUchFthTe4C5kRCEP3TT12vdnTJ5DwJmzM0v9dWUMFw,Kampfzwerg 08#EUW,Iron,EUW1
aOF0hbSICYDDMnOQsxpmYsCwhN_AH9s_3DGUBl87KEyWQX8b8eQvClGM17x9Hi_3WGjCxiCeZjVjwg,Gr3atPlayzz#EUW,Iron,EUW1
-gxB9SnPQHNO_3l__WtDkhlVSQyoR_R-Uk1WimrrzYJPsDFQWWoMJnf1MQ3qQI8OLwEtOYU7eX5QXQ,Momochi#92i,Iron,EUW1
TrL_D1bEzWg1EIbQsWpSYwSeHTr6WTuFihhms2ar1kTEzofQ1XzBHrNhrejOAedyA07jEQ-482t4Sg,ElShero#9999,Iron,EUW1
8uiF7xcBCRPPNRTIpKzctcDW-W2_mKjKGQaVW2iSLT3mSJgWh7QcVHbXjB3UDIXbG7B3yLSQSNnSug,Gerardd#666,Iron,EUW1
aOC1hyJbvZI4EPutEo9pVCm9E9Sj1M4ek39LBFTYjNY26r_AIP_Ss096-H_MufYjzIbzp-O4A8gLIA,sono gay#6969,Iron,EUW1
R1YqrCWsAHFAVolOlv5vjWyMpAMpBGoveiseZO7PMHb-rJIRqlS6ji-taM6MBUDny9CIjp7cJ7S03A,GuccixOnduras#EUW,Iron,EUW1
I27--Z8etHfJiTd2G0MJRNso9cGYbbjXoN2TbIK7u-N9e2HWGSj06ww0x8kt-vG2P2JBoySqUXks-w,PTkiller2442#EUW,Iron,EUW1
9lK6FW88zYWXvLGXAh9AavH2fgcwRdhdVu5inHXaiqoIIuvWdQ0tfmk8SC0BeaChKCzBmTciw3Kblw,GODTOFITA15#EUW,Iron,EUW1
S97R25LJOS6UBdZia0zD9K8fnmuNRYOnM2LLd2GAr4F2ODx4balQX7PKuMMo1L1KbEM6f8DviGqmBg,gekyumlk#EUW,Iron,EUW1
IKuKfVEyzTyWhRii2B5Qjt2ggNJ9xeYm3od8Ri0BGICtPwP3yY_67blGw3LlC6SmfMJl--s3ljgRpg,S0VETRYNEN#EUW,Iron,EUW1
